"ensembl"	"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000227232.5"	"WASH7P"	58.493703515486	1.0811284508599	0.112537942507631	0.131711799966675	0.854425666767169	0.392869179557029	0.580348585569829
"ENSG00000240361.2"	"OR4G11P"	6.53226972690364	1.13012244592212	0.176479093485041	0.248694238068497	0.7096227675224	0.477938097123404	0.65442104411964
"ENSG00000186092.7"	"OR4F5"	19.2452029013744	1.29044868722376	0.367872775945937	0.265849718342571	1.38376214291076	0.166431298381901	0.346349379348961
"ENSG00000268903.1"	"ENSG00000268903"	41.0315693094697	1.02270038960193	0.0323835549123822	0.200783073921403	0.161286279166434	0.871867929419459	0.928458651434361
"ENSG00000269981.1"	"ENSG00000269981"	21.233573611681	0.951553695338161	-0.0716430260786871	0.179408272437026	-0.399329557692688	0.689650390727351	0.813956650559026
"ENSG00000241860.7"	"ENSG00000241860"	15.0993518943779	1.07001140016827	0.0976261675410196	0.168448372219956	0.579561359094297	0.562210457250446	0.721896574303982
"ENSG00000279457.4"	"WASH9P"	111.6696722984	1.0152715366218	0.0218656310031048	0.109096263482488	0.20042511361184	0.841148120121339	0.910231757128348
"ENSG00000228463.10"	"ENSG00000228463"	35.4319070596305	0.94105955259099	-0.0876420717112973	0.157404456207282	-0.556795365411278	0.577667250748626	0.733240405725861
"ENSG00000237094.12"	"ENSG00000237094"	32.0414111909221	0.999030921831755	-0.00139876213200257	0.118466359465199	-0.011807251765962	0.990579395000567	0.995471691933612
"ENSG00000269732.1"	"WBP1LP7"	3.71110373141294	1.20210848816689	0.265567102602795	0.316353745491038	0.839462489026601	0.401209830302889	NA
"ENSG00000284733.2"	"OR4F29"	4.49310684802904	1.10818810264413	0.148202783660689	0.272196208869273	0.544470418145561	0.586117799561864	NA
"ENSG00000230021.10"	"ENSG00000230021"	9.43805377329356	1.20434882777656	0.268253315033932	0.166580117695224	1.6103561382081	0.107320130217935	0.267136438005193
"ENSG00000225972.1"	"MTND1P23"	9665.78227268797	1.32000503858412	0.4005434364977	0.473995544391938	0.845036290397064	0.398090577311422	0.584729536729542
"ENSG00000225630.1"	"MTND2P28"	87234.2020987255	1.21197712173378	0.277362465582523	0.204516910471357	1.35618352997449	0.175040780995511	0.357213607783864
"ENSG00000237973.1"	"MTCO1P12"	28612.2547238181	1.07468811427824	0.10391803537868	0.290735386560775	0.357431672174372	NA	NA
"ENSG00000229344.1"	"MTCO2P12"	814.781304368358	1.65907487549003	0.73037899784323	0.186829796980619	3.90932822091006	NA	NA
"ENSG00000240409.1"	"MTATP8P1"	263.537593533434	1.66912954019612	0.739095925788741	0.233623079298102	3.16362547745404	0.00155817167439556	0.0312818764981045
"ENSG00000248527.1"	"MTATP6P1"	328783.459127806	1.27598689981587	0.351613517450988	0.192607766370409	1.82554174256292	0.0679193180062797	0.204864374120516
"ENSG00000198744.5"	"MTCO3P12"	2484.89294078618	0.504158728790354	-0.988050073094145	0.283676095048825	-3.48302197590561	NA	NA
"ENSG00000229376.3"	"CICP3"	15.6703567951853	1.18301224988692	0.242465012612285	0.197335761462884	1.22869271547564	0.219187038432293	0.408212932534625
"ENSG00000228327.4"	"ENSG00000228327"	153.668312043344	1.03561193046446	0.0504834905928126	0.104495599008091	0.483115950068899	0.629013409494684	0.771296369236123
"ENSG00000237491.10"	"LINC01409"	90.328325990825	1.19552256000784	0.257641354561749	0.14274793955298	1.80486916566756	0.071095157882408	0.210562594327515
"ENSG00000230092.7"	"ENSG00000230092"	4.86600371657838	1.10154729709037	0.139531441305523	0.157438266095685	0.886261293177108	0.375476741635826	0.565082033228002
"ENSG00000177757.2"	"FAM87B"	15.675849984178	1.11800986336867	0.160932916061512	0.14915171473894	1.0789880380738	0.280593060170298	0.473039366575662
"ENSG00000228794.11"	"LINC01128"	4924.41982414495	0.806148023131477	-0.310883327312132	0.139786955539906	-2.22397952735569	0.0261498216922777	0.124158342563917
"ENSG00000225880.5"	"LINC00115"	88.7690458531694	1.20433878687747	0.268241286944242	0.141873089729012	1.890712942508	0.0586626738144447	0.189471321434693
"ENSG00000288531.1"	"ENSG00000288531"	67.6363043467361	0.799190181492933	-0.323389235979338	0.190838616341288	-1.69456917147733	0.0901571794159501	0.241816590535733
"ENSG00000230368.2"	"FAM41C"	7.71288432283554	0.944239578267639	-0.0827751394038767	0.211850632347088	-0.390724061036839	0.696001211742753	0.817641858580712
"ENSG00000234711.1"	"TUBB8P11"	6.45404934727454	1.03665986466415	0.0519426134795837	0.22641383577432	0.229414484772733	0.818546779132884	0.897083299249637
"ENSG00000230699.2"	"ENSG00000230699"	13.1268861256989	1.0945858413981	0.130385100341709	0.212788179687467	0.612745973640132	0.540044318900623	0.705582358221686
"ENSG00000223764.2"	"LINC02593"	33.2853166817379	1.50740552440875	0.592067585051977	0.234095814813445	2.52916774921332	0.0114333367251588	0.081278662592427
"ENSG00000187634.13"	"SAMD11"	114.066108372873	1.36536125757283	0.449282720781214	0.211936160030393	2.11989648541704	0.034014775867135	0.142468611639447
"ENSG00000188976.11"	"NOC2L"	2307.94252855757	0.896363865651693	-0.157843602995601	0.0624202685182598	-2.52872354993838	0.0114478157193358	0.0813156581430834
"ENSG00000187961.15"	"KLHL17"	336.058664856068	0.947221688286679	-0.0782259805321766	0.0837288423734079	-0.934277583622975	0.350160724354159	0.541130691571015
"ENSG00000187583.11"	"PLEKHN1"	25.4556951580638	0.98306383921234	-0.0246429880625706	0.162419383786558	-0.151724427762606	0.879404289655091	0.932563005017821
