"ensembl"	"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSG00000169972.12"	"PUSL1"	301.962101954608	1.25230989877359	0.32459161826135	0.154448906165602	0.00182412444800539	0.0507545909345558
"ENSG00000175756.14"	"AURKAIP1"	5020.4547492113	1.06774828365688	0.0945715789337481	0.0918723609711607	0.10022074858923	0.303469974194186
"ENSG00000242485.6"	"MRPL20"	2487.92799987666	1.01916847578697	0.0273925589537372	0.0537401574272515	0.53834607968829	0.683912441717821
"ENSG00000160072.20"	"ATAD3B"	901.964944100427	1.44388385480738	0.529954697327202	0.313152675954952	0.00207908007816836	0.0543679440441025
"ENSG00000197785.14"	"ATAD3A"	1050.29439249244	1.14186386909502	0.191390665509849	0.156627498512639	0.0173644509572693	0.148878817223801
"ENSG00000097021.20"	"ACOT7"	651.760556643141	1.04618944350766	0.065144117801088	0.115761866801727	0.105221932772159	0.304421859886185
"ENSG00000007923.17"	"DNAJC11"	1628.14190427078	0.96287705994145	-0.0545764882363743	0.0851989984592715	0.284588428893126	0.471758314773709
"ENSG00000116288.13"	"PARK7"	7041.29427624795	0.97680110081737	-0.0338632686991622	0.046080679571653	0.401072575597636	0.569870527536165
"ENSG00000171612.7"	"SLC25A33"	365.673747013272	1.04083927806906	0.0577473110636527	0.0972141069356282	0.212624433008112	0.402179307281167
"ENSG00000116688.18"	"MFN2"	25539.3236607016	0.926416789978249	-0.110266694540726	0.126295251026057	0.0726291378070991	0.259411353435725
"ENSG00000048707.15"	"VPS13D"	6745.08604210362	0.939264731165621	-0.0903962570169336	0.117805037173104	0.103808566672128	0.303469974194186
"ENSG00000132906.18"	"CASP9"	905.709350910044	1.07246794110467	0.100934522409591	0.127018755435711	0.0774013165706547	0.269872590443016
"ENSG00000116771.6"	"AGMAT"	8.86411494359433	1.01553126286716	0.0222346533112386	0.092130720661355	0.49881819551188	0.661297633086725
"ENSG00000162461.8"	"SLC25A34"	983.544945345125	1.06037198788414	0.0845704637802496	0.142467922747618	0.0384758765789698	0.206388548213346
"ENSG00000117118.10"	"SDHB"	7233.1271800255	0.921092090868496	-0.118582690582217	0.121884121359473	0.0637158777354149	0.244326268558471
"ENSG00000159423.17"	"ALDH4A1"	2001.87304473354	1.00247932737702	0.00357248645758137	0.0762684202437684	0.939684071267557	0.965529998571576
"ENSG00000053371.13"	"AKR7A2"	1171.51361411433	1.09376088467165	0.12929737414147	0.0991767509034416	0.0408259522578556	0.212806256447828
"ENSG00000173436.15"	"MICOS10"	3878.69933799774	1.0292328973188	0.0415694757096052	0.0624561016934933	0.386969109363721	0.558647832664413
"ENSG00000090432.7"	"MUL1"	2028.27176888733	0.985726810970793	-0.0207402282719424	0.0589183898218357	0.677095386611315	0.784374868944375
"ENSG00000158828.8"	"PINK1"	2807.91052511858	0.979701716751027	-0.0295855265447689	0.0878738237478033	0.481140839405509	0.646050472423829
"ENSG00000117305.15"	"HMGCL"	1463.81044639786	1.0208565495823	0.0297801534378633	0.0684262172671078	0.541145078766957	0.684447100834628
"ENSG00000117640.18"	"MTFR1L"	6680.97118179116	1.07574571867123	0.105337098558055	0.0797622884344629	0.0623359885686449	0.242391985289229
"ENSG00000116353.16"	"MECR"	1045.5901526518	0.894319223247918	-0.161138208005884	0.0687878943797955	0.00411874530205208	0.0744448880377848
"ENSG00000004455.17"	"AK2"	3971.09846446785	1.02475798627475	0.0352832334116623	0.0736855988394412	0.473507090656364	0.640735338714821
"ENSG00000116898.12"	"MRPS15"	3117.74558973573	1.0015684954346	0.00226108779540453	0.0614985372874022	0.962708777535725	0.977663476992591
"ENSG00000196449.4"	"YRDC"	340.60121146845	1.04339778744176	0.0612892792007554	0.111621564468767	0.127372452966144	0.327477841235304
"ENSG00000168653.11"	"NDUFS5"	11577.1857255587	0.945428760759727	-0.0809593414936367	0.0838503732071432	0.143776021708066	0.341794815242357
"ENSG00000198754.5"	"OXCT2"	29.8893299072082	0.995863542527427	-0.00598002328286423	0.0923577512242252	0.830800819750741	0.899860930599886
"ENSG00000043514.17"	"TRIT1"	788.138343280202	1.06596524493495	0.0921604007824622	0.0876064842082712	0.104260577080277	0.303469974194186
"ENSG00000186603.7"	"HPDL"	13.7320567637837	1.03945074308704	0.0558213941868788	0.117226714009628	0.0283490757852576	0.184180951996145
"ENSG00000132781.20"	"MUTYH"	430.860103533381	1.38022121330234	0.464899511755433	0.335322291223706	0.00344385289105527	0.0711508132116099
"ENSG00000173660.12"	"UQCRH"	11380.6587635704	0.948101456906096	-0.0768866438404468	0.0961082759920519	0.160368524323361	0.354958898488719
"ENSG00000117481.11"	"NSUN4"	783.06535879994	1.06798907251077	0.0948968856816752	0.0943589670098012	0.10126320942806	0.303469974194186
"ENSG00000123472.12"	"ATPAF1"	6469.02997282641	0.964174780289243	-0.0526334009211799	0.0869377129595133	0.293844061961422	0.479066429822012
"ENSG00000078618.23"	"NRDC"	5805.02777390471	0.991209745845813	-0.0127377223661715	0.0544866093915994	0.77505325911589	0.858845692080341
"ENSG00000162377.6"	"COA7"	546.486908609984	0.989253993980489	-0.0155871099896513	0.0789858112089963	0.705000873103074	0.80417765895945
"ENSG00000121310.17"	"ECHDC2"	3836.17596717083	1.05031601551237	0.0708234663854211	0.106152643891779	0.155021279536488	0.349613518302934
"ENSG00000116171.19"	"SCP2"	3421.00424463518	0.939036322340865	-0.0907471318458429	0.0882255753763736	0.112515166946744	0.310529985821356
