representative	grouped_terms	genes
fatty acid catabolic process	fatty acid catabolic process;cellular lipid catabolic process;monocarboxylic acid catabolic process;lipid catabolic process	DECR1;ETFB;HAO2;AMACR;CROT;FABP1;ETFBKMT;SCP2;ETFDH;ACADM;ACAA1;PCCA;MCEE;PCCB;ETFA;HSD17B4;ACAA2;ECHDC1;HADHB;HADHA;PRDX6
fatty acid oxidation	fatty acid oxidation;lipid oxidation;lipid modification;fatty acid beta-oxidation	ACADL;ACSM1;DECR1;ETFB;HAO2;AMACR;CROT;FABP1;ETFBKMT;SCP2;ETFDH;ACADM;ACAA1;ETFA;HSD17B4;ACAA2;ECHDC1;HADHB;HADHA
kidney development	kidney development;renal system development	COMT;BCL2L11;ARG2;CASP9
cell death	cell death;programmed cell death	BAD;DHRS2;PPIF;FASTK;BCL2L2;RTL10;BCL2L11;COA8;GPAM;ATAD3A;RMDN3;MTCH1;PHB2;PRELID1;ARG2;TSPO;FKBP8;GFER;PPM1K;MUTYH;NME3;BAK1;BCL2L1;CASP9;MUL1;GPX4;PGAM5;DIABLO;ALKBH7;GPX1;AIFM3;BID;BOK;PYCR1;SPG7;MFN2;BIK;BCL2L10;GOLPH3;CYCS;SLC25A6;UNG;RHOT2;NDUFA13;DELE1;HTRA2;STYXL1;RFK;ENDOG;BCL2A1;PRDX5;HIGD2A
