condition	Q1	Q3	lower_whisker	upper_whisker	Mean
M_60_79	0	5.4262647547021	0	13.5655781367843	2.93304410957967
F_60_79	0	5.52356195605701	0	13.8088636491874	2.99108461844764
M_50_59	0	5.49185309632967	0	13.729620743553	2.97429466323376
F_20_39	0	5.97727992349992	0	14.9429726055688	3.22270779876849
F_50_59	0	5.70043971814109	0	14.250816534285	3.07501974398446
M_20_39	0	5.78135971352466	0	14.4526916905019	3.10825877727603
M_40_49	0	5.70043971814109	0	14.2510385272135	3.0662159170723
F_40_49	0	5.78135971352466	0	14.4530776786539	3.12651452077331
