"ensembl"	"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSG00000227232.5"	"WASH7P"	84.4122828468848	1.00033257796382	0.000479728809918421	0.0224756035910321	0.73329455414226	0.998306095752859
"ENSG00000240361.2"	"OR4G11P"	3.49848817847643	0.999339387163373	-0.000953377804840649	0.022532918902056	0.169625096488177	0.998306095752859
"ENSG00000186092.7"	"OR4F5"	8.19461192102449	0.999944023604469	-8.07591285625654e-05	0.0225032515927333	0.925615534828629	0.998306095752859
"ENSG00000233750.3"	"CICP27"	3.73106943833784	1.00033914490791	0.000489199726676817	0.0225116263019344	0.474727418760556	0.998306095752859
"ENSG00000268903.1"	"ENSG00000268903"	123.895464634595	1.00034103014624	0.00049191862600397	0.022507312869283	0.531813250070154	0.998306095752859
"ENSG00000269981.1"	"ENSG00000269981"	61.6220514740418	1.00020475930423	0.000295374993427331	0.0225008283114793	0.722057676559112	0.998306095752859
"ENSG00000241860.7"	"ENSG00000241860"	15.2321509503287	1.00144349823232	0.00208102612362991	0.022640580788076	0.0165011267296926	0.978746185468708
"ENSG00000279928.2"	"DDX11L17"	1.86597034852156	1.00031098625349	0.000448588576863622	0.0225160530894851	0.175477320863254	0.998306095752859
"ENSG00000279457.4"	"WASH9P"	161.375117649181	1.00078745836918	0.0011356152179271	0.0224995716601709	0.459295996774409	0.998306095752859
"ENSG00000228463.10"	"ENSG00000228463"	29.3913782932902	0.999981613524081	-2.65263214912055e-05	0.0224874870963162	0.934988518602399	0.998306095752859
"ENSG00000237094.12"	"ENSG00000237094"	34.7246084267071	0.999296759877586	-0.00101491794451291	0.0225068660145346	0.445808823060282	0.998306095752859
"ENSG00000284733.2"	"OR4F29"	2.33107160098521	0.999281858593617	-0.00103643124230019	0.0225404426051181	0.0889632639891025	0.998306095752859
"ENSG00000230021.10"	"ENSG00000230021"	14.1556309016948	1.00040903202386	0.000589987818658165	0.0224956397228843	0.591833789956254	0.998306095752859
"ENSG00000225972.1"	"MTND1P23"	455.771747501346	1.00073856993816	0.00106513789612064	0.0225473703862347	NA	NA
"ENSG00000225630.1"	"MTND2P28"	34087.2090633827	1.00012985681518	0.000187331620409747	0.0224951743075733	0.844398225645504	0.998306095752859
"ENSG00000237973.1"	"MTCO1P12"	7437.68968594031	1.00041356362291	0.000596522846289318	0.0225140300439326	NA	NA
"ENSG00000229344.1"	"MTCO2P12"	449.60204239047	1.00078179820784	0.00112745573339357	0.0225412986322123	NA	NA
"ENSG00000240409.1"	"MTATP8P1"	158.377547411658	0.999852073854412	-0.000213428102844461	0.0225014849454155	0.777176886942904	0.998306095752859
"ENSG00000248527.1"	"MTATP6P1"	132940.660198672	1.00055497186847	0.000800433074097442	0.0225081194426609	0.464573532145907	0.998306095752859
"ENSG00000198744.5"	"MTCO3P12"	825.798774071521	0.997505247871987	-0.00360366351831831	0.0229383543399196	NA	NA
"ENSG00000229376.3"	"CICP3"	15.772623637326	0.999989962333259	-1.44813647087209e-05	0.0224900140785949	0.986362514081871	0.999510961082261
"ENSG00000228327.4"	"ENSG00000228327"	276.631578375499	1.0006012238994	0.00086712209698289	0.0224971668974486	0.521641638114415	0.998306095752859
"ENSG00000237491.10"	"LINC01409"	102.445107154054	0.999820846384722	-0.000258487187467898	0.022479772400973	0.655394761180383	0.998306095752859
"ENSG00000230092.7"	"ENSG00000230092"	5.01124704907271	0.99969425676645	-0.000441161691366556	0.0224946189779671	0.675079908222828	0.998306095752859
"ENSG00000177757.2"	"FAM87B"	8.7521512257046	1.00047384184516	0.000683447369974058	0.0225075203077625	0.459062799808873	0.998306095752859
"ENSG00000228794.11"	"LINC01128"	1611.81614132162	1.00060437127004	0.000871660057521219	0.022496324292227	0.525470489800431	0.998306095752859
"ENSG00000225880.5"	"LINC00115"	129.283251047748	1.00080678825619	0.00116348013828525	0.0225171664939319	0.564058609463646	0.998306095752859
"ENSG00000288531.1"	"ENSG00000288531"	13.9150801300376	1.00051794531359	0.000747043688179751	0.0225231853867897	0.152337893606226	0.998306095752859
"ENSG00000230368.2"	"FAM41C"	3.40010671305285	0.998723256979716	-0.00184312767457931	0.0226159803270132	0.00653544069388827	0.889674941336727
"ENSG00000234711.1"	"TUBB8P11"	2.77551514124985	0.999518015560587	-0.000695524189913743	0.0225201594211385	0.443283989074342	0.998306095752859
"ENSG00000230699.2"	"ENSG00000230699"	15.2727743882596	1.00067784538342	0.000977592882156132	0.0225293554767444	0.239431890237012	0.998306095752859
"ENSG00000223764.2"	"LINC02593"	88.2014963438477	0.99932705712532	-0.000971178158475364	0.0225153292601549	0.783331577385564	0.998306095752859
"ENSG00000187634.13"	"SAMD11"	230.353233716348	1.00122701866428	0.00176912858696861	0.0225942767235335	0.0822286082501019	0.998306095752859
"ENSG00000188976.11"	"NOC2L"	2602.95217023519	0.998817224546933	-0.00170739421177198	0.0224901767021176	0.454681286268166	0.998306095752859
"ENSG00000187961.15"	"KLHL17"	548.507035304362	1.00350056521337	0.00504142928678004	0.0232435136570759	0.0285771804882111	0.998306095752859
"ENSG00000187583.11"	"PLEKHN1"	67.1219310042655	1.00015335559295	0.000221228390563187	0.0225011920092887	0.760152593505257	0.998306095752859
"ENSG00000187642.9"	"PERM1"	18.8046665022271	1.00062958920681	0.000908019416832598	0.022526891586592	0.296275774495011	0.998306095752859
"ENSG00000272512.1"	"ENSG00000272512"	72.1850571315693	1.0001430474824	0.000206359134249837	0.0224972380985583	0.815826550742913	0.998306095752859
