representative	grouped_terms	genes
L-amino acid catabolic process	L-amino acid catabolic process;proteinogenic amino acid catabolic process;alpha-amino acid catabolic process	SDSL;PRODH;AASS;ARG2;ALDH4A1;GPT2;GLS2;OAT;GLDC;DLST;ACAD8;IVD
fatty acid catabolic process	fatty acid catabolic process;cellular lipid catabolic process;fatty acid beta-oxidation;lipid catabolic process	ABCD2;ECI2;ACADS;ACADL;ETFDH;HSD17B4;HSD17B10;HAO2;DECR1;NUDT8;ABCD3;SCP2;ACAT1;PCCB;ACADM;AMACR;FABP1;MCEE;CROT;ETFB;ACAA1;HADHB;ETFA;HADHA;ECHDC1;ACAA2;OXCT1;FMC1;HINT2
cell death	cell death;programmed cell death;apoptotic process	CASP9;DHRS2;PRODH;PPM1K;FASTK;ARG2;FKBP8;BAD;RMDN3;GLRX2;OGG1;GPX1;PRELID1;PYCR1;RTL10;MTCH1;GOLPH3;HSPD1;TSPO;CYCS;BCL2L2;MUTYH;GLS2;BCL2L1;COA8;HIGD1A;MUL1;BAK1;PGAM5;STYXL1;BCL2A1;ATAD3A;DELE1;PPIF;NME6;TOMM70;BCL2L10;POLB;FHIT
cholesterol metabolic process	cholesterol metabolic process;sterol metabolic process	ACADL;SOD1;ACLY;FECH;HMGCS2;CAT;IDI1;CYP11B1;FDPS;ACAA2;STAR
cellular response to abiotic stimulus	cellular response to abiotic stimulus;cellular response to environmental stimulus	CASP9;EFHD1;BAD;CRY1;TSPO;BCL2L1;BAK1;SLC25A23;LETM1
cellular lipid metabolic process	cellular lipid metabolic process;fatty acid metabolic process;lipid metabolic process	ABCD2;ECI2;ACADS;ACADL;ETFDH;LIAS;ACSM5;HSD17B4;ACSM2B;ACLY;HSD17B10;HAO2;DECR1;HMGCS2;OXSM;NUDT8;PDSS1;CAT;ABCD3;SCP2;ECHDC3;AGPAT4;ACOT2;ACAT1;PCCB;IDI1;ACADM;MMUT;FASN;AMACR;FABP1;MCEE;CROT;DHRS7B;ETFB;ACAA1;HADHB;ETFA;DBI;FDPS;HADHA;ACSM3;ECHDC1;ACAA2;ACAD9;STAR;OXCT1;SOD1;FMC1;FECH;ATP5F1B;ATP5F1A;ACOT13;HINT2;LACTB;CYP11B1;DNAJC15
biological regulation	biological regulation;regulation of cellular process	CASP9;DHRS2;NOCT;ABCB8;PRODH;AASS;ISOC2;PPM1K;HSPE1;PNKD;PPTC7;EFHD1;FASTK;PTCD3;DNA2;ARG2;FKBP8;ANTKMT;ISCU;BAD;MTG2;FAM210B;NAXE;GLRX2;CRY1;MAVS;OGG1;SLC8B1;ECSIT;NIPSNAP2;NGRN;GPX1;PRELID1;CYP27B1;PYCR1;RTL10;MTCH1;GOLPH3;HSPD1;SYNJ2BP;TSPO;CYCS;BCL2L2;BCKDK;AARS2;TRUB2;ADCK2;FASTKD1;MUTYH;GLS2;LIG3;BCL2L1;COA8;SLC25A37;MTG1;HIGD1A;MUL1;BAK1;PREPL;PGAM5;PTCD2;PLD6;TAFAZZIN;COX7A2L;GATC;STYXL1;COMT;RDH14;ABCD1;BCL2A1;CHPT1;MRPL12;SLC25A23;LYPLA1;MFN1;ATAD3A;LETM1;ADCK1;DELE1;PPIF;PNPLA8;AURKAIP1;NME6;TOMM70;BCL2L10;POLB;FHIT;VPS13D;CPT1A;TARS2;KMO;PCBD2;FDX1;PDK4;MTRES1;GUF1;CPS1;LETMD1;NDUFAF4;YRDC;ANGEL2;SIRT3
