representative	grouped_terms	genes
peptide metabolic process	peptide metabolic process;mitochondrial translation;translation;amide biosynthetic process;peptide biosynthetic process	IMMP1L;GARS1;RPUSD3;MRPS16;GFM1;MRPL37;FASTKD2;MRPL48;MRPL33;MRPS31;MRPS10;SOD1;MRPS35;NLN;MRPL3;PARK7;RMND1;MRPL14;MRPL47;C1QBP;MRPL58;MRPS14;LARS2;MRPL22;TACO1;MRPL9;MTIF2;MRPS18A;PINK1;KARS1;MRPL1;METTL5;MRPL16;MIPEP;DAP3;LRPPRC;MRPS18C;MALSU1;FARS2;GFM2;MRPS28;MRPL51;MRPL44;IARS2;MRPS22;GATB;MRPL46;MRPL13;MRPL19;DARS2;MRPL39;MRPS33;MTIF3;MRPS9;MPC2;SPTLC2;DLAT;MMUT;PDHB;DLD;ACAT1;PDHA1
ATP synthesis coupled electron transport	ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport	NDUFA1;COX7A2;COX7B;COA6;COX7C;COX4I1;UQCRB;BID;NDUFB5;NDUFC2;COX5A;PARK7;UQCRH;NDUFB3;SDHC;NDUFA12;NDUFA4;PINK1;NDUFS5;NDUFB4;DLD;UQCRC1;NDUFA8;SDHA;SDHB;GHITM;NDUFS2;NDUFA9;UQCRFS1;NDUFAF1;COX15;NDUFS4;DNAJC15;UQCRC2
aerobic respiration	aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds	COX7C;IDH3B;COX4I1;ARL2;UQCRB;BID;NDUFB5;NDUFC2;COX5A;ATP5PO;DLAT;PARK7;UQCRH;SUCLA2;IDH3G;NDUFB3;FH;ATP5MF;SDHC;NDUFA12;NDUFA4;PINK1;NDUFS5;NDUFB4;MTFR2;FXN;ATP5F1C;PDHB;DLD;ACO2;UQCRC1;ATP5PF;NDUFA8;SDHA;SDHB;STOML2;SUCLG1;GHITM;NDUFS2;NDUFA9;ATP5PB;UQCRFS1;PDHA1;NDUFAF1;ATP5F1B;ATP5F1A;COX15;NDUFS4;DNAJC15;UQCRC2;ETFB;ETFRF1;CISD1;ETFDH;ETFA;ACADM
organonitrogen compound biosynthetic process	organonitrogen compound biosynthetic process;cellular nitrogen compound biosynthetic process	GARS1;RPUSD3;ABCB6;MRPS16;GFM1;MRPL37;ALDH18A1;FASTKD2;AGXT2;MPC2;MRPL48;MRPL33;MRPS31;MRPS10;NDUFB5;NDUFC2;DBI;SPTLC2;ATP5PO;MRPS35;DLAT;MRPL3;PARK7;RMND1;MRPL14;SUCLA2;CKMT2;MMUT;MRPL47;NDUFB3;ATP5MF;SDHC;ACADM;NDUFA12;C1QBP;MRPL58;MRPS14;LARS2;MRPL22;TACO1;MRPL9;ABCB7;MTIF2;MRPS18A;PINK1;NDUFS5;ALDH9A1;KARS1;NDUFB4;MRPL1;METTL5;FXN;ATP5F1C;PDHB;MRPL16;DLD;ALAS1;ATP5PF;NDUFA8;DAP3;LRPPRC;SDHA;SDHB;STOML2;MRPS18C;MALSU1;NDUFS2;FARS2;NDUFA9;ACAT1;GFM2;MRPS28;MRPL51;ATP5PB;PDHA1;MRPL44;IARS2;MRPS22;ATP5F1B;GATB;MRPL46;ATP5F1A;MRPL13;MRPL19;DHRS7B;DARS2;COX15;MRPL39;MRPS33;TMLHE;NDUFS4;MTIF3;PAICS;MRPS9;MRPS23;ARMCX3;PDE2A;ACOD1;CYB5B;PIF1;NIF3L1;POLQ
