"ensembl"	"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSG00000169972.12"	"PUSL1"	383.420454053927	1.21636110571636	0.282571590696044	0.0917863197981949	0.000186538969493605	0.00607348316524576
"ENSG00000175756.14"	"AURKAIP1"	4810.78817133229	1.02547554478462	0.0362930872944742	0.0636742373011169	0.475966856884187	0.648418616624834
"ENSG00000242485.6"	"MRPL20"	2674.36222107902	1.00340145735398	0.00489893860635451	0.0462190276543787	0.906841286913854	0.952920620598501
"ENSG00000160072.20"	"ATAD3B"	987.264517142698	1.25033698725858	0.322316978347651	0.184503736677889	0.00363755535628275	0.0280688973014654
"ENSG00000197785.14"	"ATAD3A"	1111.97046595414	1.09474744595021	0.130598083981684	0.102980031721756	0.0500538756433671	0.150891275263095
"ENSG00000097021.20"	"ACOT7"	551.16983302345	1.28028311494721	0.35646287535492	0.145805668539007	0.000748010575551531	0.0131429460670101
"ENSG00000007923.17"	"DNAJC11"	1762.5978769178	0.95371804325303	-0.0683652832943548	0.0665430934399606	0.197162362993598	0.358918808689051
"ENSG00000116288.13"	"PARK7"	8277.61575676276	1.00366202130298	0.00527352996647986	0.0414301900824685	0.890643130837022	0.946479956100185
"ENSG00000171612.7"	"SLC25A33"	585.695652900172	0.991572374842164	-0.0122100163160783	0.0809356800877487	0.812605926734405	0.897587233209248
"ENSG00000116688.18"	"MFN2"	23519.4794022038	1.03914114974947	0.0553916332726423	0.0842192496806667	0.320384231911313	0.494443725069101
"ENSG00000048707.15"	"VPS13D"	5423.08156164653	0.944500360141596	-0.0823767481684805	0.070309019105295	0.134383466080957	0.278461931718858
"ENSG00000132906.18"	"CASP9"	1034.29256574522	1.12583732280748	0.170998381117918	0.127488302066319	0.024567382383777	0.0930500856587013
"ENSG00000116771.6"	"AGMAT"	9.24821436819052	0.980243908648922	-0.0287873231945132	0.0992972224541566	0.498836386211069	NA
"ENSG00000162461.8"	"SLC25A34"	326.240039026161	1.02388333278664	0.0340513356511965	0.0994782612690158	0.406987390981725	0.585009994541851
"ENSG00000117118.10"	"SDHB"	6131.57748587047	0.958873375011307	-0.0605877836114086	0.0723728189670167	0.268722076939988	0.439649727145487
"ENSG00000159423.17"	"ALDH4A1"	2150.19005246659	1.02805166926509	0.039912775348167	0.0795934512966229	0.461383906459542	0.634711287571231
"ENSG00000053371.13"	"AKR7A2"	1372.94829770023	1.05341120100795	0.0750687049811036	0.073149761759509	0.173705816602182	0.33133496399115
"ENSG00000173436.15"	"MICOS10"	4042.56887425389	0.998680187243043	-0.00190534494540681	0.0493773711600623	0.964127879317433	0.978320144469309
"ENSG00000090432.7"	"MUL1"	1724.46441267839	0.980893299346042	-0.0278318849225178	0.0647075159886278	0.58653100027304	0.745052892238727
"ENSG00000158828.8"	"PINK1"	2317.4321672521	0.921179278722777	-0.118446135797545	0.0715115560908032	0.0379232616917129	0.123830939866159
"ENSG00000117305.15"	"HMGCL"	1414.50469388891	1.08232389190986	0.114132298912797	0.0704655520189395	0.040505694903626	0.129675028739586
"ENSG00000117640.18"	"MTFR1L"	6108.9614686557	1.03361348134259	0.0476967922296673	0.0533408849005401	0.298833814265051	0.468172975681913
"ENSG00000116353.16"	"MECR"	1124.15147997835	1.0278395491491	0.0396150702577907	0.0530234081984788	0.395306364366546	0.574889986997199
"ENSG00000004455.17"	"AK2"	5032.07904103631	1.05917412823007	0.0829397878978428	0.0720400112283879	0.132443373740337	0.275546173938649
"ENSG00000116898.12"	"MRPS15"	2866.86492908282	1.03666648806641	0.0519518310825784	0.048126359578748	0.223131701367596	0.387111038949823
"ENSG00000196449.4"	"YRDC"	330.774249098151	1.00838548922865	0.0120472629277993	0.0805055596745562	0.797654774027333	0.888766202957179
"ENSG00000168653.11"	"NDUFS5"	11820.9630034225	0.970991756140131	-0.0424690478795974	0.0642425745401447	0.408191618275747	0.585009994541851
