condition	Q1	Q3	lower_whisker	upper_whisker	Mean
F_60_79	0	6.20945336562895	0	15.5234700695303	3.27103363169615
M_60_79	0	6.24792751344359	0	15.6194749129487	3.28957095113777
M_50_59	0	6.20945336562895	0	15.5235925835988	3.27469333671069
F_20_39	0	6.22881869049588	0	15.5712489867808	3.27549406281705
M_20_39	0	6.20945336562895	0	15.5214470838861	3.27050910947159
M_40_49	0	6.22881869049588	0	15.5719599804702	3.27939744997841
F_50_59	0	6.12928301694497	0	15.3230899544635	3.23788807773301
F_40_49	0	6.08746284125034	0	15.2184118754346	3.21855918844403
