representative	grouped_terms	genes
generation of precursor metabolites and energy	generation of precursor metabolites and energy;energy derivation by oxidation of organic compounds;cellular respiration;aerobic respiration	CS;NDUFA9;ADCY10;NDUFB1;QDPR;NDUFS5;NDUFV3;NDUFA8;SLC25A25;ARL2;ATP5PO;UQCRB;DLD;NDUFB4;SLC25A18;COX7C;NIPSNAP2;CYC1;SDHA;ATP5PD;ATP5F1C;ATP5F1B;SDHB;ATP5F1A;NDUFC1;IDH3B;COX8A;NDUFB9;UCP2;ANTKMT;NDUFS4;SUCLA2;SPHK2;COX5B;TAFAZZIN;ME3;ATP5MG;ACAT1;ETFDH;DLAT;NDUFB7;NNT;ATP5F1D;COX7A2;MFN2;BLOC1S1;AIFM2;NDUFS8;SLC25A12;ACO2;ATPSCKMT;ETFB;NDUFB10;MAOB;CHCHD4;FECH;SLC25A4;ALDH1L1;MTFR2;COX10;NDUFA5;CAT;ALDH4A1;ACADVL;AFG1L;ACACB;OGDH;IDH3G;SLC25A33;GSR;DNAJC15;FXN;COQ10A;COX6A1;HMGCS2
ribonucleotide metabolic process	ribonucleotide metabolic process;ribose phosphate metabolic process;purine ribonucleotide metabolic process;carbohydrate derivative metabolic process	NDUFAB1;DLST;STOML2;MCEE;NDUFB6;NUDT5;ATP5MC3;NDUFB11;ACOT7;THEM5;ACSL1;NDUFA9;ADCY10;NDUFB1;ACOT11;NDUFS5;NDUFV3;NDUFA8;SLC25A25;ARL2;ATP5PO;DLD;NDUFB4;SDHA;ATP5PD;GCDH;ATP5F1C;ATP5F1B;SDHB;AASS;ACSM2A;ATP5F1A;NME6;ACSL6;NDUFC1;NDUFB9;CLPX;UCP2;ANTKMT;NDUFS4;SUCLA2;SPHK2;TAFAZZIN;PDK2;ATP5MG;ACAT1;DLAT;NDUFB7;MMUT;ATP5F1D;GLYAT;NDUFS8;ATPSCKMT;HSD17B4;ACOT2;NDUFB10;GPAM;MLYCD;NDUFA5;DHODH;ACACB;OGDH;OXSM;MFN1;ACSM5;ACSM3;HMGCS2;NT5M;HOGA1;ACP6;ABHD10;DCXR;AKR1B10
purine nucleotide metabolic process	purine nucleotide metabolic process;purine-containing compound metabolic process;nucleobase-containing small molecule metabolic process;nucleoside phosphate metabolic process;nucleotide metabolic process	NDUFA9;ADCY10;NUDT13;NDUFB1;ACOT11;NDUFS5;NDUFV3;NDUFA8;SLC25A25;ARL2;ATP5PO;DLD;NDUFB4;SDHA;ATP5PD;GCDH;ATP5F1C;ATP5F1B;SDHB;AASS;ACSM2A;ATP5F1A;NME6;ACSL6;NDUFC1;PC;NDUFB9;CLPX;UCP2;ANTKMT;NDUFS4;SUCLA2;SPHK2;NADK2;TAFAZZIN;PDK2;ATP5MG;ACAT1;DLAT;NDUFB7;NNT;MMUT;ATP5F1D;MTHFD2L;GLYAT;DCXR;NDUFS8;ATPSCKMT;HSD17B4;ACOT2;NDUFB10;GPAM;ALDH1L1;MLYCD;NDUFA5;ACACB;OGDH;OXSM;MFN1;ACSM5;ACSM3;HMGCS2;NAXE;ALDH6A1;DHODH
acyl-CoA metabolic process	acyl-CoA metabolic process;thioester metabolic process;nucleoside bisphosphate metabolic process;ribonucleoside bisphosphate metabolic process;purine nucleoside bisphosphate metabolic process	GCDH;AASS;ACSM2A;ACSL6;SUCLA2;PDK2;ACAT1;DLAT;MMUT;GLYAT;HSD17B4;ACOT2;GPAM;MLYCD;ACACB;OGDH;OXSM;ACSM5;ACSM3;HMGCS2
proton motive force-driven mitochondrial ATP synthesis	proton motive force-driven mitochondrial ATP synthesis;proton motive force-driven ATP synthesis	NDUFA1;NDUFS7;NDUFAB1;STOML2;NDUFB6;NDUFB11;NDUFA9;NDUFB1;NDUFS5;NDUFV3;NDUFA8;ATP5PO;NDUFB4;SDHA;ATP5PD;ATP5F1C;ATP5F1B;SDHB;ATP5F1A;NDUFC1;NDUFB9;ANTKMT;NDUFS4;ATP5MG;NDUFB7;ATP5F1D;NDUFS8;ATPSCKMT;NDUFB10;NDUFA5;ATP5MJ;NDUFA12;ATP5MC3
response to extracellular stimulus	response to extracellular stimulus;response to nutrient levels	SLC25A25;GPX1;UCP3;SIRT5;UCP2;PDK2;ACAT1;NNT;UCP1;MLYCD;CAT;ACACB;CPT1A;CYP24A1;DNAJC15;HMGCS2
respiratory chain complex	respiratory chain complex;mitochondrial respirasome	NDUFA1;NDUFS7;COX6C;NDUFAB1;NDUFB6;DMAC2;UQCR10;UQCRH;NDUFB11;NDUFA9;NDUFB1;NDUFS5;C15orf48;NDUFV3;NDUFA8;UQCRB;NDUFB4;COX7C;CYC1;SDHA;SDHB;NDUFC1;COX8A;NDUFB9;NDUFS4;COX5B;FOXRED1;NDUFB7;COX7A2;NDUFS8;NDUFB10;NDUFA5;COX6A1;NNT
