Human_gene_stable_ID	symbol_human
ENSG00000166743	ACSM1
ENSG00000100033	PRODH
ENSG00000168268	NT5DC2
ENSG00000175606	TMEM70
ENSG00000175567	UCP2
ENSG00000131473	ACLY
ENSG00000183773	AIFM3
ENSG00000169239	CA5B
