"ensembl"	"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000169972.12"	"PUSL1"	301.962101954608	1.07976771265368	0.110720982901063	0.134316893593909	0.824326560408807	0.409754030846798	0.912673084035699
"ENSG00000175756.14"	"AURKAIP1"	5020.4547492113	1.00042577096747	0.000614126933887096	0.101895928938148	0.00602700167010477	0.99519117753272	0.998207593701087
"ENSG00000242485.6"	"MRPL20"	2487.92799987666	0.9407607434163	-0.0881002350322428	0.0630339511915199	-1.39766321747089	0.162214224762603	0.770674341244671
"ENSG00000160072.20"	"ATAD3B"	901.964944100427	1.01305886048097	0.0187179996642398	0.240073755531067	0.0779677046449066	0.937853742724472	0.990311692638827
"ENSG00000197785.14"	"ATAD3A"	1050.29439249244	0.820743949393508	-0.284995885742054	0.133996616918407	-2.12688866552202	0.0334293348398078	0.534444586954496
"ENSG00000097021.20"	"ACOT7"	651.760556643141	0.83028061196551	-0.268329084847812	0.21692344790387	-1.23697593524662	0.216096016833589	0.801547636907568
"ENSG00000007923.17"	"DNAJC11"	1628.14190427078	0.975833339091901	-0.0352933214810639	0.120449457964663	-0.293013535116266	0.769511806005634	0.990311692638827
"ENSG00000116288.13"	"PARK7"	7041.29427624795	0.93928832162303	-0.0903600229208378	0.0511872321609844	-1.76528440992188	0.0775159783259877	0.648653706631866
"ENSG00000171612.7"	"SLC25A33"	365.673747013272	0.943405015457204	-0.0840508241491697	0.15138685971685	-0.555205546283055	0.578754075719777	0.956361395265224
"ENSG00000116688.18"	"MFN2"	25539.3236607016	0.868013584103278	-0.204210474377648	0.144387814599517	-1.41431931042144	0.157268169640826	0.768703296468713
"ENSG00000048707.15"	"VPS13D"	6745.08604210362	0.936622160837686	-0.0944609217314412	0.154937549600892	-0.609670941451995	0.542079807483923	0.952126652758076
"ENSG00000132906.18"	"CASP9"	905.709350910044	1.05336030744394	0.0749990022229968	0.149625064366441	0.501246248685446	0.616197829123527	0.968947972205321
"ENSG00000116771.6"	"AGMAT"	8.86411494359433	0.885409436397134	-0.175583345609249	0.244041327361273	-0.719482013590755	0.471843980561289	0.952126652758076
"ENSG00000162461.8"	"SLC25A34"	983.544945345125	1.19055053946778	0.251628865036572	0.240736642461357	1.04524538709126	0.295909571398119	0.882438763560136
"ENSG00000117118.10"	"SDHB"	7233.1271800255	1.01843409930139	0.0263526296046828	0.131554126210487	0.200317773100621	0.841232063324608	0.990311692638827
"ENSG00000159423.17"	"ALDH4A1"	2001.87304473354	0.90301355717667	-0.147180447463922	0.126182755892601	-1.16640698186361	0.243449937019299	0.860299439601983
"ENSG00000053371.13"	"AKR7A2"	1171.51361411433	1.05424786594423	0.0762141012520517	0.0988762272862022	0.770803087292623	0.440823657040722	0.941023561764479
"ENSG00000173436.15"	"MICOS10"	3878.69933799774	0.970443023875747	-0.0432845821904408	0.0753603930592048	-0.574367787020902	0.565718946597998	0.956361395265224
"ENSG00000090432.7"	"MUL1"	2028.27176888733	0.980576762947065	-0.0282975208817989	0.0731460248575295	-0.386863413793374	0.698857327812025	0.973561731801455
"ENSG00000158828.8"	"PINK1"	2807.91052511858	1.01163618884008	0.0166905519657761	0.172486239557869	0.0967645419632233	0.922913383165492	0.990311692638827
"ENSG00000117305.15"	"HMGCL"	1463.81044639786	1.17972875225396	0.238455187754574	0.0911528114895746	2.61599377855555	0.00889681786402426	0.474912216520993
"ENSG00000117640.18"	"MTFR1L"	6680.97118179116	0.960826049092973	-0.0576528302012087	0.0833068930476537	-0.692053539533996	0.488903707062995	0.952126652758076
"ENSG00000116353.16"	"MECR"	1045.5901526518	1.00436439848107	0.00628279568430026	0.0676624975777739	0.0928549182961887	0.926018820935754	0.990311692638827
"ENSG00000004455.17"	"AK2"	3971.09846446785	0.937176296917884	-0.0936076288974391	0.101856560287863	-0.919014235635766	0.358088126253247	0.886700246502295
"ENSG00000116898.12"	"MRPS15"	3117.74558973573	0.980775839011612	-0.0280046555889584	0.0800940318643524	-0.349647220112319	0.72660346848383	0.97815602063589
"ENSG00000196449.4"	"YRDC"	340.60121146845	0.873090661266145	-0.195796624574558	0.211767359086742	-0.924583587475152	0.35518255354299	0.886700246502295
"ENSG00000168653.11"	"NDUFS5"	11577.1857255587	0.999158513621442	-0.00121451929774128	0.0984255004367678	-0.012339478004702	0.990154770855873	0.996363299074514
"ENSG00000198754.5"	"OXCT2"	29.8893299072082	1.09620773634279	0.132521221466765	0.356975985608334	0.371232875065618	0.710464089050906	0.973561731801455
"ENSG00000043514.17"	"TRIT1"	788.138343280202	1.12335429202622	0.167813007647601	0.0971548793035183	1.72727308037039	0.0841186314135322	0.675845801413273
"ENSG00000186603.7"	"HPDL"	13.7320567637837	0.595114927446253	-0.748759789078974	0.353737431279389	-2.11671065278808	0.0342844121829263	0.534444586954496
"ENSG00000132781.20"	"MUTYH"	430.860103533381	1.23462900390727	0.304077588666706	0.238819589082614	1.27325228987609	0.20292853078913	0.79490968949906
"ENSG00000173660.12"	"UQCRH"	11380.6587635704	0.992828871882451	-0.0103830246286215	0.124308039030651	-0.0835265740622083	0.933432848170781	0.990311692638827
"ENSG00000117481.11"	"NSUN4"	783.06535879994	1.03975359319398	0.0562416706771603	0.105263171328654	0.534295803245007	0.593136895330029	0.956529023378488
"ENSG00000123472.12"	"ATPAF1"	6469.02997282641	1.12247286357784	0.166680567411937	0.127851604845542	1.3037033646414	0.19233474179204	0.788949568292056
