"ensembl"	"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSG00000169972.12"	"PUSL1"	301.962101954608	1.00254221463003	0.00366298636113473	0.0301870418709551	0.531191638874423	0.866811941127373
"ENSG00000175756.14"	"AURKAIP1"	5020.4547492113	1.00837628045782	0.0120340878982021	0.0328168100677278	0.130993546482398	0.757438680720541
"ENSG00000242485.6"	"MRPL20"	2487.92799987666	0.995598604602838	-0.00636388659932611	0.0288080219401855	0.567905310959372	0.886610380990303
"ENSG00000160072.20"	"ATAD3B"	901.964944100427	1.00276056175334	0.00397716167366366	0.030659973360558	0.231407101018833	0.758386169763571
"ENSG00000197785.14"	"ATAD3A"	1050.29439249244	1.00018517214023	0.000267122197385233	0.0298696545931868	0.96461615708316	0.987147913412747
"ENSG00000097021.20"	"ACOT7"	651.760556643141	0.997283800855117	-0.00392397860584558	0.0305967687174858	0.294554099646619	0.79139318174172
"ENSG00000007923.17"	"DNAJC11"	1628.14190427078	0.997227277509787	-0.00400574897143362	0.0300963716507176	0.53723493997155	0.871236817380219
"ENSG00000116288.13"	"PARK7"	7041.29427624795	0.979990640110838	-0.0291601247719281	0.0418516616894202	0.0792806802744049	0.739648455866237
"ENSG00000171612.7"	"SLC25A33"	365.673747013272	0.996572738402735	-0.00495298575566304	0.0305666432581915	0.350084445029688	0.818108574993624
"ENSG00000116688.18"	"MFN2"	25539.3236607016	0.994864861485473	-0.00742752592021059	0.0312505227289997	0.186731000456554	0.758386169763571
"ENSG00000048707.15"	"VPS13D"	6745.08604210362	0.997081811581801	-0.00421621080450027	0.0304291501730988	0.413141725939715	0.828336119616867
"ENSG00000132906.18"	"CASP9"	905.709350910044	1.00312674921671	0.00450390795738215	0.0304631626082005	0.229319232468214	0.758386169763571
"ENSG00000116771.6"	"AGMAT"	8.86411494359433	1.00038794286018	0.000559574706036733	0.0302810814589152	0.847478914359377	0.956851701054027
"ENSG00000162461.8"	"SLC25A34"	983.544945345125	1.00099726298543	0.00143802943589933	0.0303220374656448	0.6675591123383	0.924856730471341
"ENSG00000117118.10"	"SDHB"	7233.1271800255	0.999527914322172	-0.000681236479924097	0.029855870617127	0.906712207451077	0.970476671877805
"ENSG00000159423.17"	"ALDH4A1"	2001.87304473354	0.99446188481953	-0.00801201757959448	0.0312901266326937	0.210707098864911	0.758386169763571
"ENSG00000053371.13"	"AKR7A2"	1171.51361411433	1.01107880367457	0.0158954455494246	0.0353720283085685	0.0637821523619175	0.739648455866237
"ENSG00000173436.15"	"MICOS10"	3878.69933799774	1.00528506195688	0.00760465479450847	0.0299128850322909	0.440125933723881	0.829103416685892
"ENSG00000090432.7"	"MUL1"	2028.27176888733	0.998671379976784	-0.00191806799282989	0.0286693369261613	0.807722237613013	0.942820937408054
"ENSG00000158828.8"	"PINK1"	2807.91052511858	0.999090504976426	-0.00131272100736426	0.030136232345529	0.774072015292961	0.941790592479216
"ENSG00000117305.15"	"HMGCL"	1463.81044639786	1.01967480206383	0.0281091166525597	0.0502808420416386	0.0124532707687191	0.686685369669179
"ENSG00000117640.18"	"MTFR1L"	6680.97118179116	1.01172316839729	0.0168145882379038	0.035398720442375	0.0931350880523825	0.739648455866237
"ENSG00000116353.16"	"MECR"	1045.5901526518	1.00179635143398	0.00258926238853646	0.0284408229744262	0.698382365315708	0.931770349643151
"ENSG00000004455.17"	"AK2"	3971.09846446785	0.999640137898178	-0.000519264707151501	0.0294634959874652	0.943432297828636	0.984840378829972
"ENSG00000116898.12"	"MRPS15"	3117.74558973573	1.00355999971716	0.00512687350844305	0.0294469485427211	0.58004550775399	0.893082111455524
"ENSG00000196449.4"	"YRDC"	340.60121146845	0.998555801964509	-0.00208504331425488	0.0303193645183909	0.582394803497412	0.893082111455524
"ENSG00000168653.11"	"NDUFS5"	11577.1857255587	0.998676619924766	-0.00191049830846029	0.0294696439883422	0.803099837039132	0.942820937408054
"ENSG00000198754.5"	"OXCT2"	29.8893299072082	1.00147268240408	0.00212306868165283	0.0304847750549362	0.327726914243399	0.806977939544383
"ENSG00000043514.17"	"TRIT1"	788.138343280202	1.00589590143562	0.00848101065695795	0.0309849045802684	0.291871522224208	0.79139318174172
"ENSG00000186603.7"	"HPDL"	13.7320567637837	1.00082805074427	0.00119413037029377	0.0304068681800509	0.564146682078305	0.882800543717846
"ENSG00000132781.20"	"MUTYH"	430.860103533381	1.00306611754345	0.00441670496128653	0.0307490414022108	0.185639434325521	0.758386169763571
"ENSG00000173660.12"	"UQCRH"	11380.6587635704	0.998172992470639	-0.00263822546569955	0.0299327139317502	0.67308254867211	0.925203776898754
"ENSG00000117481.11"	"NSUN4"	783.06535879994	1.00576451758865	0.00829256252431105	0.0310940390574971	0.268101231130171	0.777866774535662
"ENSG00000123472.12"	"ATPAF1"	6469.02997282641	0.999527315033683	-0.000682101479069077	0.0298211094399155	0.909112525435035	0.971329623702805
"ENSG00000078618.23"	"NRDC"	5805.02777390471	0.988328312502769	-0.016937725001231	0.0340323315698655	0.158905516931699	0.757438680720541
"ENSG00000162377.6"	"COA7"	546.486908609984	0.994674396522028	-0.00770375355227033	0.0312728779361709	0.198271729315704	0.758386169763571
"ENSG00000121310.17"	"ECHDC2"	3836.17596717083	1.00520057264894	0.00748339821495465	0.0313591605129195	0.15181738960387	0.757438680720541
"ENSG00000116171.19"	"SCP2"	3421.00424463518	0.992586564536405	-0.0107351681667802	0.0320526292257193	0.180548190410645	0.757438680720541
"ENSG00000157184.7"	"CPT2"	748.319426130249	0.999535175141123	-0.000670756422993558	0.0300742341018386	0.887277070846523	0.961794927020313
"ENSG00000116221.15"	"MRPL37"	2791.79056957099	1.00974255561545	0.013987509728784	0.0316297347126998	0.680246371789846	0.930254642743958
"ENSG00000162390.18"	"ACOT11"	1522.63427420979	1.00083029680992	0.00119736807345341	0.0302526108246925	0.753453284277213	0.940467941949839
"ENSG00000162396.6"	"PARS2"	163.789891183555	0.990419430285683	-0.0138884769205773	0.0340555316840253	0.0860732896535852	0.739648455866237
"ENSG00000162600.12"	"OMA1"	530.654773038283	1.00038211993897	0.000551177239771363	0.0297201787105159	0.933863482273826	0.978778759978378
"ENSG00000162433.15"	"AK4"	3756.37931422273	0.99269390891383	-0.0105791547437894	0.0325898189487112	0.0779218348386123	0.739648455866237
"ENSG00000116791.14"	"CRYZ"	1042.57040996722	0.995283363503334	-0.00682076629588845	0.0311139681524173	0.194673973729084	0.758386169763571
"ENSG00000117054.15"	"ACADM"	6864.98805543905	0.997767795230317	-0.00322399039502651	0.0304080687133839	0.443149144062939	0.829103416685892
"ENSG00000180488.16"	"MIGA1"	526.563292489249	0.995027385412769	-0.00719186244162533	0.0310570191384277	0.238687247184601	0.758386169763571
"ENSG00000137944.18"	"KYAT3"	384.409770958706	1.00115563157409	0.00166626133425499	0.0301517437959211	0.722900810339772	0.933894184316394
"ENSG00000117528.14"	"ABCD3"	2398.99076964412	0.999774066626834	-0.000325989784411205	0.0299459130581909	0.950480523718757	0.984840378829972
"ENSG00000137992.15"	"DBT"	1956.17973279009	0.993596003672048	-0.00926872395991885	0.0319484212674199	0.118032954954939	0.757438680720541
"ENSG00000168710.18"	"AHCYL1"	3519.56161917761	0.999740602214099	-0.000374280445196008	0.0294957676658119	0.958184834135217	0.984840378829972
"ENSG00000116459.11"	"ATP5PB"	11499.8244360076	0.999593984450255	-0.000585875565485383	0.0298260331710107	0.920945829164953	0.9731194284536
"ENSG00000116874.12"	"WARS2"	393.09125513137	0.99196356360436	-0.0116409657799639	0.0320776532525054	0.230741223249384	0.758386169763571
"ENSG00000134240.12"	"HMGCS2"	1845.20388005283	0.997623476053603	-0.00343267985248813	0.0307137818696973	0.0192985559918096	0.705585555172499
"ENSG00000131779.11"	"PEX11B"	940.21597802876	0.999971366374004	-4.13101816597818e-05	0.0287805494146038	0.967085416165711	0.987862641903646
"ENSG00000162836.12"	"ACP6"	494.830641719974	0.997040874258264	-0.00427544494699568	0.0302393999863742	0.484919873675966	0.836361708509291
"ENSG00000178096.9"	"BOLA1"	439.159671319767	1.00843008195834	0.0121110602436362	0.032583730957836	0.144312826349071	0.757438680720541
"ENSG00000266472.6"	"MRPS21"	2216.31884088027	1.00224083001673	0.00322921763844251	0.0292260621205342	0.717056269815033	0.93288663958523
"ENSG00000143374.18"	"TARS2"	1380.8144284972	1.00715360465047	0.0102837307804187	0.0306437361031068	0.363483072834854	0.818108574993624
"ENSG00000143384.14"	"MCL1"	15720.1385343541	1.00186125584434	0.00268272872794684	0.0304474202314619	0.421807100182155	0.828336119616867
"ENSG00000143436.11"	"MRPL9"	554.181874816668	1.00102517194011	0.00147825287177475	0.0292213910453985	0.517196195045819	0.853292145138685
"ENSG00000182134.17"	"TDRKH"	202.005782950198	0.992790881929464	-0.0104382294750477	0.0320283603056147	0.178049576664897	0.757438680720541
"ENSG00000196407.12"	"THEM5"	9.62905889705023	1.00093134871914	0.00134302686230126	0.0304194318794035	0.654717209957725	0.917764622039927
"ENSG00000159445.13"	"THEM4"	971.541061945146	1.00091989207619	0.00132651370524234	0.0288498212764859	0.832133824942666	0.950140883088453
"ENSG00000160688.19"	"FLAD1"	1201.6044738155	1.00665066931709	0.00956312219315233	0.0311662182057885	0.213984114394743	0.758386169763571
"ENSG00000173171.15"	"MTX1"	214.25979107435	0.996819101172049	-0.00459638115811037	0.0297952348593347	0.6264096666443	0.907513173559471
"ENSG00000160752.15"	"FDPS"	973.98842812334	0.994702640140585	-0.00766278904159126	0.0311063735754155	0.24487279223341	0.758386169763571
"ENSG00000132676.16"	"DAP3"	3056.77659911841	1.00267947219622	0.00386049151648278	0.0278378878518571	0.74400778988158	0.940278004234293
"ENSG00000160785.14"	"SLC25A44"	1389.41782853912	0.997606529438619	-0.00345718709960264	0.0299697468624286	0.600821831796375	0.89940881794422
"ENSG00000163382.13"	"NAXE"	2957.78915934763	1.0022172010264	0.00319520402812715	0.0286246212084993	0.756232885793863	0.941689998262358
"ENSG00000143314.12"	"MRPL24"	2065.2711703117	1.00313320334394	0.00451319024139307	0.0288845079230374	0.80668376936748	0.942820937408054
"ENSG00000215845.11"	"TSTD1"	200.966592652805	1.00295091752384	0.00425100497542101	0.0304356962383014	0.459812714278106	0.829535819348935
"ENSG00000158793.14"	"NIT1"	1205.72625236782	1.0075775803753	0.0108909261117248	0.032044394801063	0.187876736999556	0.758386169763571
"ENSG00000143224.18"	"PPOX"	528.621004012746	1.00322986917746	0.00465220727242441	0.0305832816561419	0.301983703361916	0.79139318174172
"ENSG00000158864.13"	"NDUFS2"	12653.5312536652	1.00183033792659	0.00263820578164499	0.029834209571137	0.695203820397433	0.930254642743958
"ENSG00000158882.15"	"TOMM40L"	1182.89115264493	1.00528066184443	0.0075983401335809	0.0306276822854379	0.348132784041167	0.818108574993624
"ENSG00000143252.16"	"SDHC"	2909.16396801481	1.00162648000834	0.00234460842922876	0.0290618516921397	0.795964200218301	0.942820937408054
"ENSG00000143198.13"	"MGST3"	8918.44420084228	0.990113873986188	-0.0143336343542254	0.0343268183453975	0.0767048091741431	0.739648455866237
"ENSG00000143149.13"	"ALDH9A1"	2214.681157542	0.992708673751645	-0.0105576969714656	0.0320239475693141	0.177933046896366	0.757438680720541
"ENSG00000143199.18"	"ADCY10"	17.488676776602	1.00070636772441	0.00101871346223941	0.030333837353085	0.846003078142059	0.956851701054027
"ENSG00000143158.11"	"MPC2"	3216.9975969458	0.995605404945547	-0.00635403244007875	0.0300927756035238	0.450277847787931	0.829103416685892
"ENSG00000117592.9"	"PRDX6"	12043.2944423993	0.993350411578442	-0.00962536618701778	0.0318136596645642	0.17206560472898	0.757438680720541
"ENSG00000117593.12"	"DARS2"	585.256419091989	0.990238414362852	-0.0141521779688155	0.0346548594553917	0.0388097728690575	0.712193375807617
"ENSG00000120333.4"	"MRPS14"	845.855063054856	1.00219618399801	0.00316494962765457	0.0286215360554615	0.588648528914876	0.896253800938807
"ENSG00000023572.10"	"GLRX2"	1016.80200817292	0.994009119690113	-0.00866900681072067	0.0312974592256471	0.236642629558168	0.758386169763571
