"ensembl"	"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000169972.12"	"PUSL1"	391.394053734582	1.11329744597812	0.154839097178286	0.0985029403234664	1.57192360623775	0.11596826915743	0.46006222753716
"ENSG00000175756.14"	"AURKAIP1"	4151.71148919612	1.03298046754146	0.0468129747765562	0.058008048637945	0.807008266537935	0.419661720537657	0.768773723757891
"ENSG00000242485.6"	"MRPL20"	1948.8908145909	1.04306790629723	0.0608330839259551	0.0635399263192139	0.957399346362787	0.338365728250334	0.694471018952627
"ENSG00000160072.20"	"ATAD3B"	1391.23292742075	1.05032846073978	0.070840560822934	0.140588262638016	0.503886736301259	0.614340971714807	0.868126212703945
"ENSG00000197785.14"	"ATAD3A"	1443.16896825141	1.13359604879866	0.180906634797189	0.111104720695879	1.62825336011038	0.103471174532674	0.448480963916563
"ENSG00000097021.20"	"ACOT7"	727.573889887477	1.11609601645183	0.158461145894931	0.095659730386394	1.65650838921316	0.0976189075667376	0.448480963916563
"ENSG00000007923.17"	"DNAJC11"	1171.25658611294	0.99090684792332	-0.013178654383442	0.0932221188348375	-0.141368320610592	0.887578979392244	0.984360175591396
"ENSG00000116288.13"	"PARK7"	5984.2053099601	1.05561912409956	0.0780893925650713	0.0688609956091837	1.13401486391894	0.256788313130018	0.621110404984964
"ENSG00000171612.7"	"SLC25A33"	1051.35858813435	0.978270319116463	-0.0316949240223527	0.161330721542444	-0.196459321072424	0.844250669271192	0.967821522043432
"ENSG00000116688.18"	"MFN2"	6623.36146087738	1.02803229659553	0.0398855888569854	0.0578959385643635	0.688918598541143	0.490874494701176	0.820972058384719
"ENSG00000048707.15"	"VPS13D"	2765.06519733052	1.03124118226985	0.0443817835039568	0.0782021522848983	0.567526368612842	0.570356616805931	0.857095192519586
"ENSG00000132906.18"	"CASP9"	797.36541225946	1.02340067729182	0.0333710932438948	0.115806144104321	0.288163408789722	0.773221656846789	0.946078181615677
"ENSG00000116771.6"	"AGMAT"	3367.91843962638	0.959456137913526	-0.0597112405886959	0.110962971617236	-0.538118614871529	0.590495161889991	0.863198461313135
"ENSG00000162461.8"	"SLC25A34"	413.319649514807	0.877451597575814	-0.188608549941163	0.246034862940691	-0.766592781554816	0.443323668598206	0.78098852951384
"ENSG00000117118.10"	"SDHB"	5956.11371657835	0.994464171890802	-0.00800869966199644	0.0860771597230833	-0.0930409377790929	0.925871038612498	0.984758682380278
"ENSG00000159423.17"	"ALDH4A1"	34806.5504595442	1.11740336197619	0.160150066105391	0.0925838171533348	1.72978465383594	0.0836687572702548	0.448473265797616
"ENSG00000053371.13"	"AKR7A2"	1816.23278933039	0.989410259819215	-0.015359235098167	0.0661564573992317	-0.232165319939658	0.816409612556564	0.955642259659234
"ENSG00000173436.15"	"MICOS10"	1099.72977215841	0.989093571763539	-0.0158210833736583	0.06777472722791	-0.233436326795618	0.815422607524924	0.955642259659234
"ENSG00000090432.7"	"MUL1"	1494.87976671159	1.00697968883497	0.0100345839280239	0.0841500909434447	0.11924626361685	0.905080255038118	0.984360175591396
"ENSG00000158828.8"	"PINK1"	1256.21494759948	1.00017949002857	0.000258926137478936	0.126211616618605	0.00205152381703007	0.998363121968474	0.998363121968474
"ENSG00000117305.15"	"HMGCL"	11307.2588155268	1.10599848808847	0.145349413394717	0.101874706983031	1.42674681183552	0.153652887204485	0.505789983081837
"ENSG00000117640.18"	"MTFR1L"	3986.31350579177	1.11478890512717	0.15677054928591	0.109111726821453	1.43678918712784	0.150777903729739	0.505789983081837
"ENSG00000116353.16"	"MECR"	801.746038153628	1.00757691820419	0.0108899779849464	0.0552728670880856	0.19702212963897	0.843810220243252	0.967821522043432
"ENSG00000004455.17"	"AK2"	7619.94442910953	0.989803680975609	-0.0147856874416073	0.0422359992755688	-0.350073105767857	0.72628383388333	0.924575564245913
"ENSG00000116898.12"	"MRPS15"	3091.88800416407	1.0980165149425	0.134899753656832	0.0529684213663892	2.54679581110628	0.0108717025647434	0.177270887010223
"ENSG00000196449.4"	"YRDC"	561.806778400207	1.00639401363389	0.0091952457257244	0.123856039104076	0.0742413998722958	0.940818304391379	0.984758682380278
"ENSG00000168653.11"	"NDUFS5"	3165.16308652171	1.02520865294866	0.0359175604036914	0.0738041335671673	0.486660552298249	0.626498904692447	0.87362710060675
"ENSG00000198754.5"	"OXCT2"	10.6896893980572	0.888758715762458	-0.170136292053346	0.291540332592831	-0.583577203676173	0.559504801052144	0.852156447711983
"ENSG00000043514.17"	"TRIT1"	680.855074731529	1.13476003169635	0.182387242287355	0.0878050890953524	2.07718304447354	0.0377846681823552	0.346416982100373
"ENSG00000186603.7"	"HPDL"	7.88311021956465	1.52136706126462	0.605368275072724	0.343927443582588	1.76016275051152	0.0783802157345131	0.440680255486065
"ENSG00000132781.20"	"MUTYH"	563.569057462852	1.01689656922717	0.0241729469914061	0.0849547828237985	0.284538976946622	0.775997368553323	0.946078181615677
"ENSG00000173660.12"	"UQCRH"	2007.40837366928	0.994792986774024	-0.00753175820307191	0.102461349155975	-0.0735082864427882	0.941401650288368	0.984758682380278
"ENSG00000117481.11"	"NSUN4"	768.948756940253	1.00959715674327	0.0137797524792953	0.0592728472696891	0.232480015960731	0.816165207017037	0.955642259659234
"ENSG00000123472.12"	"ATPAF1"	2712.70978656477	0.930102646904735	-0.104538152851043	0.0573758516906893	-1.82198868985167	0.0684567017901663	0.425639610542387
"ENSG00000078618.23"	"NRDC"	6734.48631768405	1.00823004792956	0.0118248562393132	0.062780087251772	0.188353612697144	0.850599460505656	0.969881725922273
"ENSG00000162377.6"	"COA7"	898.861783988829	0.936942617107142	-0.0939674019121995	0.118919940522103	-0.790173636983401	0.429426369971674	0.771945022210985
"ENSG00000121310.17"	"ECHDC2"	30061.0606207958	1.17341127867881	0.230708764188372	0.152751807261319	1.51035047195015	0.130954019347847	0.484458371595461
"ENSG00000116171.19"	"SCP2"	28822.986670958	0.958618791919329	-0.0609708733290967	0.137876829092428	-0.442212616365175	0.658335357313323	0.893534088291463
"ENSG00000157184.7"	"CPT2"	2251.41618518393	0.992801505862926	-0.0104227911643311	0.11476035306509	-0.0908222298551093	0.92763384617874	0.984758682380278
"ENSG00000116221.15"	"MRPL37"	3554.38700529861	1.02467272916531	0.0351632000695851	0.066180457067834	0.531323016302884	0.595194958490721	0.863198461313135
"ENSG00000162390.18"	"ACOT11"	33.1603373569355	1.07379512157292	0.102718755626149	0.217598433286454	0.472056503692409	0.636886458037187	0.882675903574399
"ENSG00000162396.6"	"PARS2"	192.067436019882	0.898378240754732	-0.154605109641507	0.0878117840170949	-1.76064193857408	0.0782990256120343	0.440680255486065
"ENSG00000162600.12"	"OMA1"	642.613553441506	0.806723616378522	-0.309853604254213	0.0949568871032225	-3.26309774579476	0.00110201503948646	0.0471254179450737
"ENSG00000162433.15"	"AK4"	6062.77935367801	1.0653512329885	0.0913291474009277	0.116173927832992	0.786141513027085	0.431784586164299	0.773112048983152
"ENSG00000116791.14"	"CRYZ"	6538.21000801856	0.970641511617461	-0.0429895334417545	0.0879935414693285	-0.488553281569412	0.625157995176326	0.873526648587967
"ENSG00000117054.15"	"ACADM"	6702.76596204479	0.919003975033481	-0.121856993167734	0.130250873617477	-0.935556052588221	0.349501810746047	0.702373555495479
"ENSG00000180488.16"	"MIGA1"	562.095936212356	0.940523883963613	-0.088463514415503	0.0802972047679815	-1.10170104514993	0.270591662443008	0.637853604207812
"ENSG00000137944.18"	"KYAT3"	828.396307141295	1.18980557524633	0.250725843663949	0.0986406043771685	2.54181171381774	0.0110279562814543	0.177270887010223
"ENSG00000117528.14"	"ABCD3"	6196.69108471061	1.05029939407864	0.0708006353046788	0.0929348867726596	0.761830543548987	0.446161148355312	0.78467942397931
"ENSG00000137992.15"	"DBT"	2571.44792435202	1.03702023044894	0.052444038879842	0.114687164290687	0.457279061734555	0.647470477491777	0.88687571866948
"ENSG00000168710.18"	"AHCYL1"	4131.58983859116	0.924027818744914	-0.113991808872448	0.0768558642557569	-1.4831894739107	0.13802407706263	0.49485956072888
"ENSG00000116459.11"	"ATP5PB"	4562.6022275048	0.995855245898923	-0.00599204255472902	0.0600383180618866	-0.0998036378792709	0.920500219863626	0.984758682380278
"ENSG00000116874.12"	"WARS2"	375.699606790026	0.939089666208923	-0.0906651789476885	0.0863978477329126	-1.04939163794876	0.293997905229265	0.655675999409577
"ENSG00000116882.15"	"HAO2"	8121.14946323857	1.15857734050709	0.212354354122249	0.220811283413794	0.961700646992311	0.33619999727561	0.693614787546997
"ENSG00000134240.12"	"HMGCS2"	68622.2176307259	1.0593476125374	0.0831760705336131	0.188963554364151	0.440169909025552	0.659814051951667	0.893534088291463
"ENSG00000131779.11"	"PEX11B"	881.360579276436	0.94032241274674	-0.0887725896728318	0.076949195505679	-1.15365195294706	0.248642889564316	0.609780821970956
"ENSG00000162836.12"	"ACP6"	860.522071141246	0.871935021632096	-0.197707468442555	0.102140708020556	-1.93563831966747	0.0529120136765614	0.403034875312227
"ENSG00000178096.9"	"BOLA1"	518.595890494921	1.0534324516376	0.0750978084012632	0.0796284356419841	0.943102897800342	0.345628273681147	0.699864148047839
"ENSG00000266472.6"	"MRPS21"	1850.22591319868	1.0457099626994	0.0644827622939053	0.0595461877171566	1.0829032850969	0.278851353604832	0.642843730670795
"ENSG00000143374.18"	"TARS2"	1697.62062594822	0.903693032732713	-0.146095294991683	0.076217348824331	-1.9168246763399	0.0552602088984959	0.403822348043702
"ENSG00000143384.14"	"MCL1"	20980.1223109526	1.07906560649335	0.109782582421125	0.172986853196874	0.634629628739378	0.525669999575737	0.840888931999251
"ENSG00000143436.11"	"MRPL9"	518.439460225915	0.918542714196387	-0.12258128359269	0.0883483377353865	-1.38747696600512	0.165296370102226	0.526259828909798
"ENSG00000182134.17"	"TDRKH"	212.009953040434	0.737595978880634	-0.4390973041754	0.149062595825899	-2.94572425592436	0.00322199491439089	0.0873243237054146
"ENSG00000196407.12"	"THEM5"	36.3373950168542	1.08440684318813	0.116906122495596	0.149102360226521	0.784066210071985	0.4330012611145	0.773112048983152
"ENSG00000159445.13"	"THEM4"	1053.77994931634	0.909113223308846	-0.137468112311817	0.0847920958343687	-1.62123734481507	0.104966746492578	0.451015654644939
"ENSG00000160688.19"	"FLAD1"	1325.51192524348	0.950271628844567	-0.0735881376818005	0.0663145126161282	-1.10968375968888	0.267135323516	0.634521431362722
