"ensembl"	"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000169972.12"	"PUSL1"	391.394053734582	0.811190093373332	-0.301888061294182	0.117930468246037	-2.55988181666808	0.0104707764569035	0.344707120102157
"ENSG00000175756.14"	"AURKAIP1"	4151.71148919612	0.979729818594638	-0.0295441447565417	0.0701078729194436	-0.421409800729356	0.673455863721657	0.96314714871594
"ENSG00000242485.6"	"MRPL20"	1948.8908145909	0.955193095715983	-0.0661356862707325	0.0770132318196402	-0.858757446066123	0.390474349494889	0.886399955552398
"ENSG00000160072.20"	"ATAD3B"	1391.23292742075	0.921071656357219	-0.118614697257115	0.16951377629479	-0.699734852528096	0.484092906493916	0.910177906440295
"ENSG00000197785.14"	"ATAD3A"	1443.16896825141	0.810831056268065	-0.302526747244533	0.13338327389226	-2.26810107756763	0.0233230467167252	0.404670431043854
"ENSG00000097021.20"	"ACOT7"	727.573889887477	0.925278769550054	-0.112040006170113	0.116683091575407	-0.960207727249895	0.336950678584141	0.87096862344122
"ENSG00000007923.17"	"DNAJC11"	1171.25658611294	0.956991372035212	-0.0634221770497549	0.113135968514074	-0.560583675401737	0.575081382702597	0.944400324257671
"ENSG00000116288.13"	"PARK7"	5984.2053099601	0.967326052884096	-0.0479258395255303	0.0839541931334909	-0.570857008289342	0.568096575417962	0.944400324257671
"ENSG00000171612.7"	"SLC25A33"	1051.35858813435	0.999186717624486	-0.00117379582845079	0.196602417344708	-0.00597040384499819	0.995236335251046	0.997200364224172
"ENSG00000116688.18"	"MFN2"	6623.36146087738	0.862695661482677	-0.213076394239684	0.0700946972422074	-3.0398361448572	0.00236706890654254	0.167588478583212
"ENSG00000048707.15"	"VPS13D"	2765.06519733052	0.999243197760568	-0.00109224819785571	0.0934732500885761	-0.0116851419718549	0.990676817798851	0.997200364224172
"ENSG00000132906.18"	"CASP9"	797.36541225946	1.03017492850468	0.0428893345525023	0.139223558680778	0.308060898305595	0.758035993863208	0.974617706395553
"ENSG00000116771.6"	"AGMAT"	3367.91843962638	0.950491410126452	-0.0732545060187612	0.135096200828642	-0.542239571279125	0.58765347828802	0.944400324257671
"ENSG00000162461.8"	"SLC25A34"	413.319649514807	1.29483554558333	0.372768875797894	0.30026112783518	1.24148230070765	0.214427632586544	0.812576326863035
"ENSG00000117118.10"	"SDHB"	5956.11371657835	1.03646828938744	0.0516759780553142	0.103653425547061	0.49854578160422	0.618099409195786	0.952716360763316
"ENSG00000159423.17"	"ALDH4A1"	34806.5504595442	0.970019690397443	-0.0439140620716969	0.111794836085963	-0.392809396293849	0.694460264151513	0.96314714871594
"ENSG00000053371.13"	"AKR7A2"	1816.23278933039	1.02251405529002	0.0321206743238416	0.0807970430315552	0.397547646778322	0.690963658103328	0.96314714871594
"ENSG00000173436.15"	"MICOS10"	1099.72977215841	0.945577531022212	-0.0807323405351582	0.0824743638400194	-0.978878002524028	0.3276402623907	0.87096862344122
"ENSG00000090432.7"	"MUL1"	1494.87976671159	0.860617056913621	-0.21655666096782	0.101139860079538	-2.14116037729849	0.0322611070851529	0.496540517745397
"ENSG00000158828.8"	"PINK1"	1256.21494759948	1.04752373258823	0.0669829298429956	0.151603814359197	0.441828789902952	0.658613103589288	0.96314714871594
"ENSG00000117305.15"	"HMGCL"	11307.2588155268	1.01803944279843	0.0257934581005772	0.124394216152537	0.20735255141564	0.835734535731275	0.976130413410554
"ENSG00000117640.18"	"MTFR1L"	3986.31350579177	0.996432581353414	-0.00515589929365578	0.132814384960626	-0.0388203378360279	0.969033629806889	0.997200364224172
"ENSG00000116353.16"	"MECR"	801.746038153628	0.998325635768542	-0.00241762152816104	0.0673815800794555	-0.0358795612289027	0.971378393149253	0.997200364224172
"ENSG00000004455.17"	"AK2"	7619.94442910953	0.994329470946698	-0.00820412706097124	0.0515885671811289	-0.159029946153889	0.873645280439448	0.986438546329945
"ENSG00000116898.12"	"MRPS15"	3091.88800416407	0.947888942923916	-0.0772100556778929	0.06435592564739	-1.19973498790044	0.230242280117774	0.842367725453989
"ENSG00000196449.4"	"YRDC"	561.806778400207	0.869707002221661	-0.201398645233037	0.150639426494676	-1.33695839077132	0.181236219224346	0.780807109392944
"ENSG00000168653.11"	"NDUFS5"	3165.16308652171	1.0319773958871	0.0454113707624029	0.089387560157891	0.50802785848713	0.611433806269063	0.949331436049335
"ENSG00000198754.5"	"OXCT2"	10.6896893980572	0.928556429188163	-0.106938508220267	0.356410390630108	-0.30004318345267	0.764144216550114	0.976130413410554
"ENSG00000043514.17"	"TRIT1"	680.855074731529	0.925302758367699	-0.112002603280553	0.106493097467934	-1.05173580207185	0.292920780186973	0.87096862344122
"ENSG00000186603.7"	"HPDL"	7.88311021956465	0.422465126131507	-1.24309584090953	0.412272638689421	-3.01522760487144	0.00256786478631601	0.170243362790913
"ENSG00000132781.20"	"MUTYH"	563.569057462852	0.909305601593254	-0.137162854585571	0.102387059914055	-1.33965029077608	0.180359065574257	0.780807109392944
"ENSG00000173660.12"	"UQCRH"	2007.40837366928	0.877835468438402	-0.18797753224685	0.124921112954255	-1.50476991279837	0.13238324159019	0.780807109392944
"ENSG00000117481.11"	"NSUN4"	768.948756940253	0.928666973487826	-0.10676676613164	0.0723648112616841	-1.47539618041083	0.140106061668844	0.780807109392944
"ENSG00000123472.12"	"ATPAF1"	2712.70978656477	1.04006303436536	0.0566709674149269	0.0698927394955925	0.810827674289411	0.417464639523667	0.893845659625272
